path,lines
backend/src/services/services.unit.test.ts,604
backend/src/services/services.test.ts,486
frontend/src/pages/MemberDetailPage.tsx,272
frontend/src/pages/CheckoutPage.tsx,252
backend/src/http/routes.ts,212
backend/src/services/loanService.ts,202
backend/src/policy/policy.test.ts,198
frontend/src/pages/BookDetailPage.tsx,197
frontend/src/pages/BooksPage.tsx,196
frontend/src/pages/MembersPage.tsx,156
backend/src/services/memberService.ts,136
backend/src/services/reservationService.ts,134
backend/src/services/bookService.ts,97
backend/src/policy/index.ts,84
frontend/src/components/Modal.tsx,79
frontend/src/api/client.ts,79
backend/src/types.ts,75
frontend/src/api/types.ts,67
backend/src/db/seed.ts,63
backend/src/test-utils/factory.ts,60
backend/src/errors.ts,52
backend/src/db/migrate.ts,44
frontend/src/utils/format.ts,41
frontend/src/utils/format.test.ts,41
backend/src/http/schemas.ts,39
backend/src/server.ts,36
frontend/src/components/Layout.tsx,35
backend/src/db/index.ts,35
backend/src/services/fineService.ts,33
backend/src/http/middleware.ts,30
backend/src/app.ts,30
frontend/src/App.tsx,24
frontend/src/components/EmptyState.tsx,17
frontend/src/pages/NotFoundPage.tsx,13
frontend/src/main.tsx,13
frontend/src/components/ErrorBanner.tsx,11
frontend/src/components/Spinner.tsx,7
frontend/src/test-setup.ts,1
