path,lines
backend/src/app.ts,173
frontend/src/pages/MemberProfilePage.tsx,160
frontend/src/pages/CheckoutPage.tsx,160
frontend/src/pages/BookDetailPage.tsx,129
frontend/src/pages/BooksPage.tsx,123
backend/src/services/serviceHelpers.ts,113
backend/src/db.ts,112
frontend/src/pages/MembersPage.tsx,106
backend/src/services/reservationService.ts,105
backend/src/services/loanService.ts,91
backend/src/services/bookService.ts,84
backend/src/services/memberService.ts,82
frontend/src/components/Modal.tsx,66
backend/src/services/types.ts,65
backend/src/policy/index.ts,65
frontend/src/types.ts,58
frontend/src/api.ts,46
frontend/src/App.tsx,43
backend/src/errors.ts,39
frontend/src/utils.ts,35
backend/src/services/fineService.ts,22
backend/src/server.ts,19
frontend/src/components/Message.tsx,14
frontend/src/main.tsx,13
backend/src/services/dbTypes.ts,3
