path,lines
backend/src/services/index.test.ts,493
frontend/src/pages/MemberProfilePage.tsx,251
frontend/src/pages/CheckoutPage.tsx,237
backend/src/policy/index.test.ts,185
frontend/src/pages/BookDetailPage.tsx,167
frontend/src/api.ts,153
backend/src/services/loanService.ts,153
backend/src/db.ts,130
backend/src/services/memberService.ts,124
backend/src/services/reservationService.ts,116
backend/src/services/bookService.ts,86
frontend/src/pages/BooksPage.tsx,80
frontend/src/pages/MembersPage.tsx,79
frontend/src/components/Modal.tsx,73
backend/src/policy/index.ts,73
backend/src/routes/books.ts,61
frontend/src/components/CreateBookModal.tsx,59
frontend/src/context.tsx,56
backend/src/routes/reservations.ts,52
backend/src/routes/members.ts,51
backend/src/index.ts,51
frontend/src/components/Layout.tsx,50
frontend/src/components/CreateMemberModal.tsx,49
backend/src/routes/loans.ts,46
backend/src/types.ts,44
backend/src/errors.ts,37
frontend/src/App.tsx,25
backend/src/validators.ts,23
backend/src/routes/fines.ts,22
backend/src/services/fineService.ts,14
frontend/src/main.tsx,13
frontend/src/test-setup.ts,1
