path,lines
backend/src/services/api.test.ts,355
backend/src/policy/policy.test.ts,230
frontend/src/pages/MemberDetail.tsx,219
frontend/src/pages/Checkout.tsx,191
backend/src/services/loan.ts,131
frontend/src/api/index.ts,119
frontend/src/pages/BookList.tsx,115
frontend/src/pages/MemberList.tsx,112
backend/src/policy/index.ts,102
frontend/src/pages/BookDetail.tsx,99
backend/src/services/reservation.ts,86
backend/src/routes/loans.ts,63
backend/src/routes/members.ts,62
backend/src/routes/books.ts,58
backend/src/services/member.ts,56
backend/src/routes/reservations.ts,55
backend/src/services/book.ts,53
backend/src/app.ts,47
frontend/src/components/Modal.tsx,45
backend/src/db/index.ts,45
backend/src/db/seed.ts,42
backend/src/routes/fines.ts,30
frontend/src/main.tsx,26
backend/src/services/fine.ts,26
backend/src/errors.ts,26
frontend/src/components/PayFineModal.tsx,19
frontend/src/components/Layout.tsx,19
frontend/src/components/ConfirmReturnModal.tsx,19
backend/src/index.ts,7
frontend/src/app.test.ts,6
backend/src/policy/constants.ts,5
