path,lines
backend/src/services/loanService.ts,262
frontend/src/pages/MemberDetailPage.tsx,238
frontend/src/pages/CheckoutPage.tsx,234
backend/src/policy/policy.test.ts,210
backend/src/services/reservationService.ts,206
frontend/src/pages/BookDetailPage.tsx,160
frontend/src/pages/MembersPage.tsx,137
backend/src/policy/index.ts,135
backend/src/services/services.test.ts,120
frontend/src/hooks/useApi.ts,108
frontend/src/components/Modal.tsx,100
backend/src/routes/members.ts,100
backend/src/services/bookService.ts,96
backend/src/db/database.ts,94
backend/src/services/memberService.ts,90
backend/src/services/fineService.ts,85
backend/src/index.ts,69
frontend/src/types/index.ts,63
backend/src/routes/reservations.ts,61
backend/src/routes/books.ts,59
backend/src/routes/loans.ts,55
frontend/src/components/Layout.tsx,54
frontend/src/pages/BooksPage.tsx,52
backend/src/errors.ts,31
frontend/src/components/Status.tsx,30
frontend/src/App.tsx,29
frontend/src/contexts/MemberContext.tsx,27
backend/src/routes/fines.ts,26
frontend/src/components/Button.tsx,24
frontend/src/main.tsx,15
frontend/src/App.test.tsx,7
